Country,UnemplWB2016,MonopolyForce,SVS2014,RegimeTypes2017,PrivPR2016,SocialSafetyNets,YouthRiskFactor2010,MeanYrsSchooling2015,LifeExpect2016,DscrmViolMin2016,GovFrameGE2015,GDP2017,Latitude,Longitude,Population,country,iso3c
Afghanistan,8.840999603,3,5,1,,1,0.671894968,3.5,60.53165,8.9,2,1957.58,33.93911,67.709953,34656032,Afghanistan,AFG
Albania,15.22000027,9,3,4,35,6,0.396048605,9.6,77.79626,5,1,12506.65,41.153332,20.168331,2876101,Albania,ALB
Algeria,10.19999981,7,3,1,25,6,0.646274924,7.8,75.58631,8.2,5,15237.20,28.033886,1.659626,40606052,Algeria,DZA
Angola,7.723999977,8,3,1,15,2,0.47235769,5,52.43517,7.3,4,6752.58,-11.202692,17.873887,28813463,Angola,AGO
Argentina,8.395999908,8,3,4,15,6,0.364954352,9.8,76.31718,5,4,20875.76,-38.416097,-63.616672,43847430,Argentina,ARG
Armenia,18.04000092,9,3,1,20,6,0.411100715,11.3,74.78831,5.4,0,9455.94,40.069099,45.038189,2924816,Armenia,ARM
Australia,5.71999979,,3,4,90,,0.24766551,13.2,82.8448,4.4,3,50333.71,-25.274398,133.775136,24210809,Australia,AUS
Austria,6.010000229,,2,4,90,,0.226665705,11.3,81.50567,4.3,2,49868.71,47.516231,14.550072,8736668,Austria,AUT
Azerbaijan,5,7,3,1,20,6,0.409730375,11.2,72.67706,6.4,1,17492.36,40.143105,47.576927,9757812,Azerbaijan,AZE
Bahamas,12.69999981,,2,4,70,,0.271642029,10.9,76.08678,,4,31139.37,25.03428,-77.39628,391232,"Bahamas, The",BHS
Bahrain,1.251000047,7,2,1,60,8,0.265528083,9.4,76.92394,7.7,4,48504.79,25.930414,50.637772,1425171,Bahrain,BHR
Bangladesh,4.349999905,6,5,2,20,4,0.404841691,5.2,71.79896,8.4,4,4210.79,23.684994,90.356331,162951560,Bangladesh,BGD
Barbados,9.720000267,,2,4,80,,0.256922692,10.5,75.53287,,1,18663.51,13.193887,-59.543198,284996,Barbados,BRB
Belarus,0.488000005,10,3,1,20,6,0.311091036,12,72.26955,6.8,0,18930.85,53.709807,27.953389,9501534,Belarus,BLR
Belgium,7.829999924,,2,4,80,,0.254718065,11.4,81.05846,4.1,1,46553.07,50.503887,4.469936,11331422,Belgium,BEL
